# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.95104963E+18   3.60866726E+18   6.55971716E+18
  -1.35333330E-05   9.99066227E+19   1.45771871E+20   2.45678502E+20
  -3.53333326E-06   9.21180271E+20   2.34591238E+20   1.15577151E+21
   6.46666649E-06   4.18665036E+20   6.77425967E+20   1.09609100E+21
   1.64666671E-05   7.88127331E+20   3.17963493E+20   1.10609082E+21
   2.64666669E-05   3.54759837E+20   7.52321673E+20   1.10708148E+21
   3.64666666E-05   6.25924843E+20   4.80320159E+20   1.10624500E+21
   4.64666664E-05   5.70435077E+20   5.35705040E+20   1.10614008E+21
   5.64666661E-05   4.76493718E+20   6.29704066E+20   1.10619778E+21
   6.64666659E-05   6.82690253E+20   4.22888111E+20   1.10557840E+21
   7.64666693E-05   4.15420192E+20   6.90530527E+20   1.10595072E+21
   8.64666654E-05   6.65475806E+20   4.39929345E+20   1.10540515E+21
   9.64666688E-05   4.73511667E+20   6.32034046E+20   1.10554575E+21
   1.06466665E-04   5.47320176E+20   5.57928405E+20   1.10524858E+21
   1.16466668E-04   6.45918855E+20   4.59121927E+20   1.10504078E+21
   1.26466664E-04   4.54999057E+20   6.50100376E+20   1.10509947E+21
   1.36466668E-04   5.85624839E+20   5.19558686E+20   1.10518349E+21
   1.46466671E-04   5.88680250E+20   5.16097845E+20   1.10477809E+21
   1.56466660E-04   4.67398347E+20   6.37598947E+20   1.10499729E+21
   1.66466663E-04   6.21478101E+20   4.83237929E+20   1.10471603E+21
   1.76466667E-04   5.74903457E+20   5.29671237E+20   1.10457466E+21
   1.86466670E-04   4.83379053E+20   6.21408577E+20   1.10478759E+21
   1.96466674E-04   6.26692073E+20   4.77898384E+20   1.10459042E+21
   2.06466662E-04   4.78905783E+20   6.25474060E+20   1.10437988E+21
   2.16466666E-04   6.10171392E+20   4.93973349E+20   1.10414471E+21
   2.26466669E-04   5.23939281E+20   5.80635976E+20   1.10457522E+21
   2.36466673E-04   5.75159318E+20   5.28827023E+20   1.10398638E+21
   2.46466661E-04   5.63071199E+20   5.41147746E+20   1.10421894E+21
   2.56466679E-04   4.78848115E+20   6.25418469E+20   1.10426658E+21
   2.66466668E-04   6.32041435E+20   4.71297233E+20   1.10333870E+21
   2.76466657E-04   5.25800112E+20   5.78124621E+20   1.10392473E+21
   2.86466675E-04   5.09967919E+20   5.93833951E+20   1.10380187E+21
   2.96466664E-04   6.73798036E+20   4.29489965E+20   1.10328804E+21
   3.06466653E-04   4.20067626E+20   6.83699341E+20   1.10376697E+21
   3.16466670E-04   6.20116325E+20   4.82923064E+20   1.10303935E+21
   3.26466659E-04   5.54101788E+20   5.49226887E+20   1.10332871E+21
   3.36466677E-04   5.45616161E+20   5.57524981E+20   1.10314111E+21
   3.46466666E-04   5.51475485E+20   5.51890626E+20   1.10336615E+21
   3.56466655E-04   5.73873751E+20   5.29184778E+20   1.10305849E+21
   3.66466673E-04   5.18352917E+20   5.84562693E+20   1.10291565E+21
   3.76466662E-04   5.47983366E+20   5.55079385E+20   1.10306272E+21
   3.86466680E-04   6.03056619E+20   4.99567207E+20   1.10262383E+21
   3.96466668E-04   5.22211904E+20   5.80809118E+20   1.10302106E+21
   4.06466657E-04   5.63852010E+20   5.38854534E+20   1.10270651E+21
   4.16466675E-04   5.63497352E+20   5.39025038E+20   1.10252242E+21
   4.26466664E-04   5.20418416E+20   5.82092117E+20   1.10251053E+21
   4.36466653E-04   5.81876225E+20   5.20586386E+20   1.10246261E+21
   4.46466671E-04   5.44627481E+20   5.58084694E+20   1.10271214E+21
   4.56466660E-04   5.69673792E+20   5.32541578E+20   1.10221534E+21
   4.66466678E-04   5.36666629E+20   5.65783386E+20   1.10245002E+21
   4.76466666E-04   5.15969387E+20   5.86337252E+20   1.10230667E+21
   4.86466655E-04   6.47561543E+20   4.53978183E+20   1.10153973E+21
   4.96466644E-04   4.23029481E+20   6.79871914E+20   1.10290143E+21
   5.06466662E-04   6.98025291E+20   4.03458245E+20   1.10148350E+21
   5.16466680E-04   4.65227225E+20   6.36690838E+20   1.10191810E+21
   5.26466640E-04   5.49415405E+20   5.52834271E+20   1.10224968E+21
   5.36466658E-04   5.91088092E+20   5.10276626E+20   1.10136472E+21
   5.46466676E-04   5.04952492E+20   5.97402561E+20   1.10235509E+21
   5.56466694E-04   5.83713131E+20   5.18108034E+20   1.10182113E+21
   5.66466653E-04   5.64965455E+20   5.36705121E+20   1.10167054E+21
