# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.95120823E+18   3.60851937E+18   6.55972760E+18
  -1.35333330E-05   9.99084962E+19   1.45769892E+20   2.45678397E+20
  -3.53333326E-06   9.21120317E+20   2.34604379E+20   1.15572471E+21
   6.46666649E-06   4.18628515E+20   6.77361932E+20   1.09599045E+21
   1.64666671E-05   7.88008971E+20   3.17983372E+20   1.10599231E+21
   2.64666669E-05   3.54679089E+20   7.52278256E+20   1.10695734E+21
   3.64666666E-05   6.25686574E+20   4.80461882E+20   1.10614846E+21
   4.64666664E-05   5.70684780E+20   5.35365441E+20   1.10605022E+21
   5.64666661E-05   4.76778817E+20   6.29332308E+20   1.10611109E+21
   6.64666659E-05   6.82617773E+20   4.22818973E+20   1.10543675E+21
   7.64666693E-05   4.15109198E+20   6.90821995E+20   1.10593123E+21
   8.64666654E-05   6.64198121E+20   4.40921579E+20   1.10511974E+21
   9.64666688E-05   4.74162120E+20   6.31337817E+20   1.10549994E+21
   1.06466665E-04   5.48210587E+20   5.56931737E+20   1.10514232E+21
   1.16466668E-04   6.46393281E+20   4.58211426E+20   1.10460471E+21
   1.26466664E-04   4.54723564E+20   6.50562910E+20   1.10528651E+21
   1.36466668E-04   5.83325575E+20   5.21192367E+20   1.10451794E+21
   1.46466671E-04   5.88141682E+20   5.16457993E+20   1.10459971E+21
   1.56466660E-04   4.69752181E+20   6.34942597E+20   1.10469478E+21
   1.66466663E-04   6.22846773E+20   4.81288926E+20   1.10413570E+21
   1.76466667E-04   5.74660122E+20   5.29510480E+20   1.10417060E+21
   1.86466670E-04   4.80459700E+20   6.23770644E+20   1.10423034E+21
   1.96466674E-04   6.24919625E+20   4.78906522E+20   1.10382615E+21
   2.06466662E-04   4.80499494E+20   6.23430059E+20   1.10392952E+21
   2.16466666E-04   6.14255594E+20   4.89315396E+20   1.10357099E+21
   2.26466669E-04   5.23912506E+20   5.79765339E+20   1.10367788E+21
   2.36466673E-04   5.71875912E+20   5.31458005E+20   1.10333392E+21
   2.46466661E-04   5.60232629E+20   5.43232948E+20   1.10346558E+21
   2.56466679E-04   4.78949376E+20   6.24362586E+20   1.10331196E+21
   2.66466668E-04   6.36611322E+20   4.66257916E+20   1.10286920E+21
   2.76466657E-04   5.28674499E+20   5.74525541E+20   1.10320008E+21
   2.86466675E-04   5.06661573E+20   5.96146479E+20   1.10280805E+21
   2.96466664E-04   6.68977918E+20   4.33799770E+20   1.10277772E+21
   3.06466653E-04   4.19362636E+20   6.83691248E+20   1.10305385E+21
   3.16466670E-04   6.24045434E+20   4.78342938E+20   1.10238837E+21
   3.26466659E-04   5.58521402E+20   5.44418802E+20   1.10294020E+21
   3.36466677E-04   5.45011201E+20   5.57156389E+20   1.10216763E+21
   3.46466666E-04   5.46137946E+20   5.56776855E+20   1.10291480E+21
   3.56466655E-04   5.69002545E+20   5.33143900E+20   1.10214644E+21
   3.66466673E-04   5.23857125E+20   5.78614564E+20   1.10247169E+21
   3.76466662E-04   5.51381332E+20   5.51077057E+20   1.10245839E+21
   3.86466680E-04   6.05752516E+20   4.95739147E+20   1.10149166E+21
   3.96466668E-04   5.18459491E+20   5.84147764E+20   1.10260729E+21
   4.06466657E-04   5.55946434E+20   5.45444039E+20   1.10139047E+21
   4.16466675E-04   5.65927325E+20   5.36055406E+20   1.10198270E+21
   4.26466664E-04   5.24739831E+20   5.76850841E+20   1.10159067E+21
   4.36466653E-04   5.87368259E+20   5.13957334E+20   1.10132559E+21
   4.46466671E-04   5.42016800E+20   5.59920509E+20   1.10193731E+21
   4.56466660E-04   5.61427033E+20   5.39261829E+20   1.10068890E+21
   4.66466678E-04   5.36787382E+20   5.65098382E+20   1.10188573E+21
   4.76466666E-04   5.16157413E+20   5.84858101E+20   1.10101555E+21
   4.86466655E-04   6.58125861E+20   4.42542171E+20   1.10066807E+21
   4.96466644E-04   4.22111275E+20   6.79385737E+20   1.10149701E+21
   5.06466662E-04   6.90295918E+20   4.10106156E+20   1.10040207E+21
   5.16466680E-04   4.63663807E+20   6.37551237E+20   1.10121504E+21
   5.26466640E-04   5.45593643E+20   5.55318287E+20   1.10091197E+21
   5.36466658E-04   6.01904401E+20   4.98811552E+20   1.10071592E+21
   5.46466676E-04   5.08037000E+20   5.93078191E+20   1.10111519E+21
   5.56466694E-04   5.79697046E+20   5.21085969E+20   1.10078305E+21
   5.66466653E-04   5.58475627E+20   5.42459701E+20   1.10093533E+21
