# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.95179674E+18   3.60849711E+18   6.56029385E+18
  -1.35333330E-05   9.99339609E+19   1.45776462E+20   2.45710414E+20
  -3.53333326E-06   9.21058815E+20   2.34571429E+20   1.15563028E+21
   6.46666649E-06   4.18317837E+20   6.77543835E+20   1.09586167E+21
   1.64666671E-05   7.88145557E+20   3.17788662E+20   1.10593418E+21
   2.64666669E-05   3.54033385E+20   7.52955062E+20   1.10698845E+21
   3.64666666E-05   6.26096824E+20   4.80100961E+20   1.10619778E+21
   4.64666664E-05   5.70644353E+20   5.35553290E+20   1.10619764E+21
   5.64666661E-05   4.76568203E+20   6.29701040E+20   1.10626928E+21
   6.64666659E-05   6.82976794E+20   4.22796490E+20   1.10577332E+21
   7.64666693E-05   4.13592364E+20   6.92618790E+20   1.10621115E+21
   8.64666654E-05   6.65331128E+20   4.40345329E+20   1.10567649E+21
   9.64666688E-05   4.73498085E+20   6.32465969E+20   1.10596402E+21
   1.06466665E-04   5.48463914E+20   5.57187105E+20   1.10565102E+21
   1.16466668E-04   6.47185281E+20   4.58260438E+20   1.10544568E+21
   1.26466664E-04   4.52476584E+20   6.53224819E+20   1.10570140E+21
   1.36466668E-04   5.84009313E+20   5.21501461E+20   1.10551077E+21
   1.46466671E-04   5.88438674E+20   5.16973338E+20   1.10541205E+21
   1.56466660E-04   4.68919930E+20   6.36558826E+20   1.10547876E+21
   1.66466663E-04   6.25196245E+20   4.80031542E+20   1.10522782E+21
   1.76466667E-04   5.71685600E+20   5.33468792E+20   1.10515436E+21
   1.86466670E-04   4.81856696E+20   6.23574034E+20   1.10543077E+21
   1.96466674E-04   6.23187639E+20   4.81819963E+20   1.10500757E+21
   2.06466662E-04   4.82070687E+20   6.23263004E+20   1.10533366E+21
   2.16466666E-04   6.15306269E+20   4.89557816E+20   1.10486409E+21
   2.26466669E-04   5.21494600E+20   5.83613102E+20   1.10510770E+21
   2.36466673E-04   5.73703705E+20   5.31375146E+20   1.10507885E+21
   2.46466661E-04   5.57002246E+20   5.47839567E+20   1.10484178E+21
   2.56466679E-04   4.80381345E+20   6.24892111E+20   1.10527342E+21
   2.66466668E-04   6.39423819E+20   4.65159636E+20   1.10458346E+21
   2.76466657E-04   5.24834547E+20   5.80072815E+20   1.10490736E+21
   2.86466675E-04   5.09575507E+20   5.95485365E+20   1.10506091E+21
   2.96466664E-04   6.64827218E+20   4.39449535E+20   1.10427672E+21
   3.06466653E-04   4.20627268E+20   6.84683870E+20   1.10531114E+21
   3.16466670E-04   6.26385969E+20   4.77890608E+20   1.10427658E+21
   3.26466659E-04   5.56450485E+20   5.48116293E+20   1.10456678E+21
   3.36466677E-04   5.47998284E+20   5.56770804E+20   1.10476909E+21
   3.46466666E-04   5.40120714E+20   5.64090455E+20   1.10421113E+21
   3.56466655E-04   5.72491638E+20   5.32172318E+20   1.10466396E+21
   3.66466673E-04   5.23444413E+20   5.80944719E+20   1.10438917E+21
   3.76466662E-04   5.51185355E+20   5.53089779E+20   1.10427517E+21
   3.86466680E-04   6.09864514E+20   4.94424624E+20   1.10428910E+21
   3.96466668E-04   5.10821280E+20   5.93316178E+20   1.10413746E+21
   4.06466657E-04   5.59537175E+20   5.44925246E+20   1.10446242E+21
   4.16466675E-04   5.64899449E+20   5.39095160E+20   1.10399461E+21
   4.26466664E-04   5.25264535E+20   5.79057640E+20   1.10432218E+21
   4.36466653E-04   5.91233052E+20   5.12858315E+20   1.10409137E+21
   4.46466671E-04   5.35489395E+20   5.68548631E+20   1.10403803E+21
   4.56466660E-04   5.65004510E+20   5.39246488E+20   1.10425096E+21
   4.66466678E-04   5.32160285E+20   5.71866905E+20   1.10402719E+21
   4.76466666E-04   5.20009855E+20   5.84142310E+20   1.10415216E+21
   4.86466655E-04   6.61143132E+20   4.42603005E+20   1.10374614E+21
   4.96466644E-04   4.16139607E+20   6.87905281E+20   1.10404492E+21
   5.06466662E-04   6.94168873E+20   4.09607945E+20   1.10377682E+21
   5.16466680E-04   4.58278945E+20   6.45579888E+20   1.10385887E+21
   5.26466640E-04   5.48246721E+20   5.55680229E+20   1.10392698E+21
   5.36466658E-04   6.06883975E+20   4.96832748E+20   1.10371672E+21
   5.46466676E-04   5.03190881E+20   6.00371137E+20   1.10356205E+21
   5.56466694E-04   5.82414405E+20   5.21513037E+20   1.10392741E+21
   5.66466653E-04   5.53063567E+20   5.50373546E+20   1.10343708E+21
