# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.95183495E+18   3.60819914E+18   6.56003382E+18
  -1.35333330E-05   9.99422469E+19   1.45768906E+20   2.45711153E+20
  -3.53333326E-06   9.20993653E+20   2.34572062E+20   1.15556568E+21
   6.46666649E-06   4.18304783E+20   6.77499925E+20   1.09580474E+21
   1.64666671E-05   7.88035430E+20   3.17822016E+20   1.10585748E+21
   2.64666669E-05   3.54152027E+20   7.52783926E+20   1.10693595E+21
   3.64666666E-05   6.25891628E+20   4.80214219E+20   1.10610588E+21
   4.64666664E-05   5.70895605E+20   5.35203980E+20   1.10609955E+21
   5.64666661E-05   4.76418353E+20   6.29757898E+20   1.10617625E+21
   6.64666659E-05   6.82805306E+20   4.22748886E+20   1.10555419E+21
   7.64666693E-05   4.13958000E+20   6.92197422E+20   1.10615542E+21
   8.64666654E-05   6.64580575E+20   4.40811522E+20   1.10539206E+21
   9.64666688E-05   4.74162648E+20   6.31583123E+20   1.10574574E+21
   1.06466665E-04   5.48500330E+20   5.57036481E+20   1.10553681E+21
   1.16466668E-04   6.46806767E+20   4.58268741E+20   1.10507554E+21
   1.26466664E-04   4.52720517E+20   6.52711409E+20   1.10543189E+21
   1.36466668E-04   5.83452520E+20   5.21855733E+20   1.10530825E+21
   1.46466671E-04   5.89346923E+20   5.15678764E+20   1.10502572E+21
   1.56466660E-04   4.67857784E+20   6.37323875E+20   1.10518166E+21
   1.66466663E-04   6.26458097E+20   4.78573783E+20   1.10503192E+21
   1.76466667E-04   5.70607339E+20   5.34064991E+20   1.10467233E+21
   1.86466670E-04   4.81200613E+20   6.24030516E+20   1.10523113E+21
   1.96466674E-04   6.24807246E+20   4.79897630E+20   1.10470484E+21
   2.06466662E-04   4.80495131E+20   6.24340350E+20   1.10483545E+21
   2.16466666E-04   6.16342449E+20   4.88433288E+20   1.10477577E+21
   2.26466669E-04   5.21537244E+20   5.83027564E+20   1.10456481E+21
   2.36466673E-04   5.72054191E+20   5.32731222E+20   1.10478541E+21
   2.46466661E-04   5.58749502E+20   5.45880079E+20   1.10462955E+21
   2.56466679E-04   4.78805050E+20   6.25846522E+20   1.10465157E+21
   2.66466668E-04   6.41659364E+20   4.62869168E+20   1.10452850E+21
   2.76466657E-04   5.22671201E+20   5.81455315E+20   1.10412655E+21
   2.86466675E-04   5.10317651E+20   5.94562690E+20   1.10488034E+21
   2.96466664E-04   6.65368072E+20   4.38438794E+20   1.10380687E+21
   3.06466653E-04   4.18114365E+20   6.86522042E+20   1.10463644E+21
   3.16466670E-04   6.30101790E+20   4.74165779E+20   1.10426757E+21
   3.26466659E-04   5.54317433E+20   5.49543230E+20   1.10386070E+21
   3.36466677E-04   5.47551935E+20   5.57001719E+20   1.10455369E+21
   3.46466666E-04   5.41983340E+20   5.62038150E+20   1.10402149E+21
   3.56466655E-04   5.69320752E+20   5.34830568E+20   1.10415132E+21
   3.66466673E-04   5.26822640E+20   5.77581269E+20   1.10440394E+21
   3.76466662E-04   5.49350349E+20   5.54390123E+20   1.10374051E+21
   3.86466680E-04   6.10495862E+20   4.93863750E+20   1.10435961E+21
   3.96466668E-04   5.10984465E+20   5.92877217E+20   1.10386168E+21
   4.06466657E-04   5.56903343E+20   5.47173703E+20   1.10407701E+21
   4.16466675E-04   5.69160664E+20   5.35186634E+20   1.10434730E+21
   4.26466664E-04   5.21753839E+20   5.81755719E+20   1.10350956E+21
   4.36466653E-04   5.92866099E+20   5.11468426E+20   1.10433456E+21
   4.46466671E-04   5.36526877E+20   5.67170636E+20   1.10369751E+21
   4.56466660E-04   5.60550027E+20   5.43300326E+20   1.10385035E+21
   4.66466678E-04   5.36650022E+20   5.67471884E+20   1.10412191E+21
   4.76466666E-04   5.18406785E+20   5.85235453E+20   1.10364227E+21
   4.86466655E-04   6.60494051E+20   4.43233474E+20   1.10372756E+21
   4.96466644E-04   4.18532496E+20   6.85402194E+20   1.10393473E+21
   5.06466662E-04   6.90031754E+20   4.13506796E+20   1.10353855E+21
   5.16466680E-04   4.61361271E+20   6.42660219E+20   1.10402149E+21
   5.26466640E-04   5.46280442E+20   5.57383364E+20   1.10366381E+21
   5.36466658E-04   6.08565155E+20   4.95231120E+20   1.10379624E+21
   5.46466676E-04   5.03507962E+20   6.00200141E+20   1.10370814E+21
   5.56466694E-04   5.79214457E+20   5.24446428E+20   1.10366085E+21
   5.66466653E-04   5.56683828E+20   5.47209486E+20   1.10389335E+21
