# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   137320576.       86840376.0       224160960.    
  -1.35333330E-05   1.28533801E+10   2.45372867E+10   3.73906678E+10
  -3.53333326E-06   5.37191547E+10   5.39804017E+10   1.07699552E+11
   6.46666649E-06   6.79169434E+10   5.75451587E+10   1.25462102E+11
   1.64666671E-05   6.99855831E+10   5.41418742E+10   1.24127461E+11
   2.64666669E-05   6.78794527E+10   5.67401021E+10   1.24619555E+11
   3.64666666E-05   6.77122007E+10   5.74910505E+10   1.25203251E+11
   4.64666664E-05   6.91849380E+10   5.59384003E+10   1.25123338E+11
   5.64666661E-05   6.73682432E+10   5.76669901E+10   1.25035233E+11
   6.64666659E-05   6.88575119E+10   5.60555172E+10   1.24913025E+11
   7.64666693E-05   6.78426829E+10   5.69695191E+10   1.24812198E+11
   8.64666654E-05   6.91352207E+10   5.54444308E+10   1.24579652E+11
   9.64666688E-05   6.74762342E+10   5.66805873E+10   1.24156822E+11
   1.06466665E-04   6.92925235E+10   5.46290975E+10   1.23921621E+11
   1.16466668E-04   6.74344141E+10   5.58114734E+10   1.23245887E+11
   1.26466664E-04   6.91548488E+10   5.38773381E+10   1.23032191E+11
   1.36466668E-04   6.79229522E+10   5.45335583E+10   1.22456506E+11
   1.46466671E-04   6.53798769E+10   5.58899159E+10   1.21269797E+11
   1.56466660E-04   6.66041672E+10   5.53975276E+10   1.22001695E+11
   1.66466663E-04   6.83828634E+10   5.44021340E+10   1.22784997E+11
   1.76466667E-04   6.82469212E+10   5.50443377E+10   1.23291255E+11
   1.86466670E-04   6.85590733E+10   5.52371036E+10   1.23796177E+11
   1.96466674E-04   6.86150861E+10   5.57190717E+10   1.24334162E+11
   2.06466662E-04   6.82863821E+10   5.62845368E+10   1.24570919E+11
   2.16466666E-04   6.86655488E+10   5.60859832E+10   1.24751528E+11
   2.26466669E-04   6.83077960E+10   5.65179351E+10   1.24825731E+11
   2.36466673E-04   6.89171825E+10   5.62637292E+10   1.25180912E+11
   2.46466661E-04   6.72196608E+10   5.89238886E+10   1.26143545E+11
   2.56466679E-04   6.83753144E+10   5.84499732E+10   1.26825284E+11
   2.66466668E-04   6.90939085E+10   5.82837453E+10   1.27377654E+11
   2.76466657E-04   6.89154621E+10   5.85732219E+10   1.27488688E+11
   2.86466675E-04   6.71547843E+10   6.04075213E+10   1.27562301E+11
   2.96466664E-04   6.99609743E+10   5.80476477E+10   1.28008618E+11
   3.06466653E-04   6.94854615E+10   5.95926098E+10   1.29078067E+11
   3.16466670E-04   6.57927250E+10   6.25943470E+10   1.28387072E+11
   3.26466659E-04   6.91718963E+10   5.94239611E+10   1.28595853E+11
   3.36466677E-04   6.83127767E+10   6.01899172E+10   1.28502694E+11
   3.46466666E-04   6.79476756E+10   6.03866194E+10   1.28334299E+11
   3.56466655E-04   6.94936781E+10   5.87501036E+10   1.28243778E+11
   3.66466673E-04   6.88283566E+10   5.92894239E+10   1.28117785E+11
   3.76466662E-04   6.92269875E+10   5.87781816E+10   1.28005169E+11
   3.86466680E-04   6.85476864E+10   5.92281887E+10   1.27775875E+11
   3.96466668E-04   6.82417398E+10   5.97359329E+10   1.27977669E+11
   4.06466657E-04   6.78659604E+10   5.97606646E+10   1.27626625E+11
   4.16466675E-04   6.70866719E+10   6.00563794E+10   1.27143051E+11
   4.26466664E-04   6.84403999E+10   5.83805624E+10   1.26820958E+11
   4.36466653E-04   6.75250627E+10   5.92413983E+10   1.26766465E+11
   4.46466671E-04   6.71924265E+10   5.97855724E+10   1.26977999E+11
   4.56466660E-04   6.66636984E+10   5.87879875E+10   1.25451682E+11
   4.66466678E-04   6.73721426E+10   5.73674906E+10   1.24739633E+11
   4.76466666E-04   6.56984556E+10   5.89828792E+10   1.24681339E+11
   4.86466655E-04   6.75314893E+10   5.73541089E+10   1.24885598E+11
   4.96466644E-04   6.93747139E+10   5.58053171E+10   1.25180035E+11
   5.06466662E-04   6.89130537E+10   5.60362537E+10   1.24949307E+11
   5.16466680E-04   6.82210836E+10   5.65239849E+10   1.24745073E+11
   5.26466640E-04   6.85889126E+10   5.63468657E+10   1.24935782E+11
   5.36466658E-04   6.90938429E+10   5.67585792E+10   1.25852418E+11
   5.46466676E-04   6.78185165E+10   5.79936666E+10   1.25812179E+11
   5.56466694E-04   6.83325071E+10   5.73484851E+10   1.25680992E+11
   5.66466653E-04   7.01256172E+10   5.55552031E+10   1.25680820E+11
