# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.87249887E+18   3.45521694E+18   6.32771581E+18
  -1.35333330E-05   1.02245407E+20   1.35102869E+20   2.37348285E+20
  -3.53333326E-06   8.80326641E+20   2.12149432E+20   1.09247609E+21
   6.46666649E-06   3.17671779E+20   7.12194108E+20   1.02986585E+21
   1.64666671E-05   7.38180511E+20   2.98084850E+20   1.03626533E+21
   2.64666669E-05   3.92327035E+20   6.44730256E+20   1.03705726E+21
   3.64666666E-05   5.34103518E+20   5.02495321E+20   1.03659887E+21
   4.64666664E-05   5.82862549E+20   4.53503088E+20   1.03636567E+21
   5.64666661E-05   4.29582184E+20   6.07031961E+20   1.03661414E+21
   6.64666659E-05   5.74341105E+20   4.61962572E+20   1.03630368E+21
   7.64666693E-05   5.14202534E+20   5.22039571E+20   1.03624210E+21
   8.64666654E-05   4.70260842E+20   5.66075874E+20   1.03633668E+21
   9.64666688E-05   5.63913161E+20   4.72255796E+20   1.03616892E+21
   1.06466665E-04   5.04815273E+20   5.31276982E+20   1.03609222E+21
   1.16466668E-04   4.91996586E+20   5.44168395E+20   1.03616498E+21
   1.26466664E-04   5.52571162E+20   4.83547340E+20   1.03611854E+21
   1.36466668E-04   5.02453522E+20   5.33554572E+20   1.03600806E+21
   1.46466671E-04   5.17924548E+20   5.18142128E+20   1.03606668E+21
   1.56466660E-04   5.03769875E+20   5.32346763E+20   1.03611664E+21
   1.66466663E-04   5.51220786E+20   4.84579861E+20   1.03580061E+21
   1.76466667E-04   4.94562054E+20   5.41348966E+20   1.03591102E+21
   1.86466670E-04   5.29853000E+20   5.06140281E+20   1.03599328E+21
   1.96466674E-04   4.70277378E+20   5.65529320E+20   1.03580666E+21
   2.06466662E-04   6.43972948E+20   3.91283045E+20   1.03525596E+21
   2.16466666E-04   3.81791884E+20   6.54309272E+20   1.03610116E+21
   2.26466669E-04   5.63802471E+20   4.71750478E+20   1.03555291E+21
   2.36466673E-04   5.91673912E+20   4.43427340E+20   1.03510129E+21
   2.46466661E-04   4.10656791E+20   6.25103921E+20   1.03576071E+21
   2.56466679E-04   5.93808196E+20   4.41662386E+20   1.03547058E+21
   2.66466668E-04   4.88552915E+20   5.46653995E+20   1.03520691E+21
   2.76466657E-04   5.21759820E+20   5.13400928E+20   1.03516075E+21
   2.86466675E-04   5.30102000E+20   5.05381389E+20   1.03548339E+21
   2.96466664E-04   5.33401309E+20   5.01862776E+20   1.03526412E+21
   3.06466653E-04   4.15162009E+20   6.19866727E+20   1.03502874E+21
   3.16466670E-04   6.78553134E+20   3.56165840E+20   1.03471897E+21
   3.26466659E-04   3.70169747E+20   6.65525346E+20   1.03569506E+21
   3.36466677E-04   6.00941616E+20   4.33613574E+20   1.03455523E+21
   3.46466666E-04   5.02561116E+20   5.32102689E+20   1.03466380E+21
   3.56466655E-04   5.26977627E+20   5.08382300E+20   1.03535996E+21
   3.66466673E-04   4.57994303E+20   5.77023808E+20   1.03501811E+21
   3.76466662E-04   6.02231827E+20   4.31957375E+20   1.03418917E+21
   3.86466680E-04   4.47134717E+20   5.88091404E+20   1.03522612E+21
   3.96466668E-04   5.40290057E+20   4.94801026E+20   1.03509108E+21
   4.06466657E-04   4.90426237E+20   5.44059781E+20   1.03448598E+21
   4.16466675E-04   5.59589740E+20   4.75241541E+20   1.03483128E+21
   4.26466664E-04   4.94621657E+20   5.40369362E+20   1.03499102E+21
   4.36466653E-04   4.88449333E+20   5.46595554E+20   1.03504485E+21
   4.46466671E-04   5.72417681E+20   4.61865217E+20   1.03428290E+21
   4.56466660E-04   4.77990672E+20   5.57102627E+20   1.03509326E+21
   4.66466678E-04   5.41419545E+20   4.93470354E+20   1.03488990E+21
   4.76466666E-04   4.95876753E+20   5.38750565E+20   1.03462728E+21
   4.86466655E-04   5.15896767E+20   5.18658283E+20   1.03455508E+21
   4.96466644E-04   5.42797612E+20   4.92045246E+20   1.03484289E+21
   5.06466662E-04   4.91435676E+20   5.43384628E+20   1.03482030E+21
   5.16466680E-04   5.09511155E+20   5.24946082E+20   1.03445727E+21
   5.26466640E-04   5.33857720E+20   5.00738319E+20   1.03459604E+21
   5.36466658E-04   5.49764927E+20   4.84942365E+20   1.03470729E+21
   5.46466676E-04   4.45890351E+20   5.88813809E+20   1.03470413E+21
   5.56466694E-04   5.82507926E+20   4.51721316E+20   1.03422928E+21
   5.66466653E-04   5.10600076E+20   5.24091313E+20   1.03469139E+21
