# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   182002752.       173169440.       355172192.    
  -1.35333330E-05   1.71771484E+10   4.50772910E+10   6.22544404E+10
  -3.53333326E-06   7.56969144E+10   8.85170094E+10   1.64213916E+11
   6.46666649E-06   9.59241339E+10   8.59740488E+10   1.81898183E+11
   1.64666671E-05   9.48483686E+10   8.81161257E+10   1.82964486E+11
   2.64666669E-05   9.56155986E+10   8.66696643E+10   1.82285271E+11
   3.64666666E-05   9.59894897E+10   8.59946107E+10   1.81984100E+11
   4.64666664E-05   9.52914330E+10   8.65809859E+10   1.81872427E+11
   5.64666661E-05   9.47558892E+10   8.69446287E+10   1.81700526E+11
   6.64666659E-05   9.63704177E+10   8.52450755E+10   1.81615493E+11
   7.64666693E-05   9.50165914E+10   8.65064714E+10   1.81523055E+11
   8.64666654E-05   9.55622932E+10   8.59011809E+10   1.81463482E+11
   9.64666688E-05   9.47566182E+10   8.66895217E+10   1.81446148E+11
   1.06466665E-04   9.55234632E+10   8.58970440E+10   1.81420507E+11
   1.16466668E-04   9.51576740E+10   8.62003855E+10   1.81358068E+11
   1.26466664E-04   9.59030149E+10   8.54197043E+10   1.81322711E+11
   1.36466668E-04   9.53615811E+10   8.58967081E+10   1.81258289E+11
   1.46466671E-04   9.52169103E+10   8.59925709E+10   1.81209481E+11
   1.56466660E-04   9.50110290E+10   8.61966991E+10   1.81207728E+11
   1.66466663E-04   9.60322273E+10   8.51867648E+10   1.81219000E+11
   1.76466667E-04   9.48481638E+10   8.63980995E+10   1.81246263E+11
   1.86466670E-04   9.57683548E+10   8.54606725E+10   1.81229027E+11
   1.96466674E-04   9.57266575E+10   8.54675292E+10   1.81194195E+11
   2.06466662E-04   9.69799107E+10   8.39937720E+10   1.80973683E+11
   2.16466666E-04   9.97572772E+10   8.12499354E+10   1.81007221E+11
   2.26466669E-04   9.73553091E+10   8.34705490E+10   1.80825850E+11
   2.36466673E-04   9.51857644E+10   8.57245204E+10   1.80910293E+11
   2.46466661E-04   9.68543846E+10   8.44951634E+10   1.81349548E+11
   2.56466679E-04   9.55298857E+10   8.55121101E+10   1.81041988E+11
   2.66466668E-04   9.53380127E+10   8.54698639E+10   1.80807877E+11
   2.76466657E-04   9.50722232E+10   8.57331057E+10   1.80805337E+11
   2.86466675E-04   9.56548301E+10   8.51608453E+10   1.80815675E+11
   2.96466664E-04   9.50519890E+10   8.57524224E+10   1.80804420E+11
   3.06466653E-04   9.58502339E+10   8.49901650E+10   1.80840399E+11
   3.16466670E-04   9.54634977E+10   8.51920241E+10   1.80655522E+11
   3.26466659E-04   9.65526979E+10   8.43407278E+10   1.80893417E+11
   3.36466677E-04   9.53483018E+10   8.55658742E+10   1.80914176E+11
   3.46466666E-04   9.57177446E+10   8.53333279E+10   1.81051064E+11
   3.56466655E-04   9.48046152E+10   8.61845504E+10   1.80989166E+11
   3.66466673E-04   9.62020803E+10   8.47634350E+10   1.80965507E+11
   3.76466662E-04   9.58898995E+10   8.51923026E+10   1.81082194E+11
   3.86466680E-04   9.71881021E+10   8.39174554E+10   1.81105558E+11
   3.96466668E-04   9.85145508E+10   8.27942257E+10   1.81308785E+11
   4.06466657E-04   9.62803466E+10   8.44854149E+10   1.80765753E+11
   4.16466675E-04   9.44983654E+10   8.63620710E+10   1.80860436E+11
   4.26466664E-04   9.62158838E+10   8.47373926E+10   1.80953285E+11
   4.36466653E-04   9.57125509E+10   8.51393823E+10   1.80851933E+11
   4.46466671E-04   9.01094113E+10   9.01926502E+10   1.80302053E+11
   4.56466660E-04   8.74327982E+10   9.27107973E+10   1.80143587E+11
   4.66466678E-04   9.21151406E+10   8.78919516E+10   1.80007092E+11
   4.76466666E-04   9.60242483E+10   8.41346744E+10   1.80158923E+11
   4.86466655E-04   9.27015076E+10   8.71640760E+10   1.79865584E+11
   4.96466644E-04   9.64857364E+10   8.30863933E+10   1.79572130E+11
   5.06466662E-04   9.42372291E+10   8.57643581E+10   1.80001587E+11
   5.16466680E-04   9.25946184E+10   8.70287688E+10   1.79623395E+11
   5.26466640E-04   9.63943219E+10   8.33599898E+10   1.79754303E+11
   5.36466658E-04   9.63611361E+10   8.31588352E+10   1.79519980E+11
   5.46466676E-04   9.70617897E+10   8.25951519E+10   1.79656950E+11
   5.56466694E-04   9.53414779E+10   8.41018982E+10   1.79443368E+11
   5.66466653E-04   9.51973888E+10   8.41616425E+10   1.79359023E+11
