# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.75201438E+18   4.11420181E+18   6.86621592E+18
  -1.35333330E-05   8.50620282E+19   1.74996564E+20   2.60058601E+20
  -3.53333326E-06   1.01884604E+21   3.80573766E+20   1.39941984E+21
   6.46666649E-06   9.10135897E+20   5.50373616E+20   1.46050948E+21
   1.64666671E-05   6.33780950E+20   8.48144552E+20   1.48192550E+21
   2.64666669E-05   9.36135248E+20   5.45132095E+20   1.48126741E+21
   3.64666666E-05   5.99666042E+20   8.82058135E+20   1.48172425E+21
   4.64666664E-05   9.43113646E+20   5.37790594E+20   1.48090431E+21
   5.64666661E-05   6.06744856E+20   8.74696579E+20   1.48144136E+21
   6.64666659E-05   8.76905313E+20   6.03854953E+20   1.48076020E+21
   7.64666693E-05   6.45973531E+20   8.35155889E+20   1.48112949E+21
   8.64666654E-05   8.06245172E+20   6.74401167E+20   1.48064634E+21
   9.64666688E-05   6.92080188E+20   7.88720117E+20   1.48080031E+21
   1.06466665E-04   7.42354293E+20   7.38206477E+20   1.48056077E+21
   1.16466668E-04   7.34866847E+20   7.45619262E+20   1.48048604E+21
   1.26466664E-04   7.22948774E+20   7.57433189E+20   1.48038189E+21
   1.36466668E-04   7.33488535E+20   7.46791042E+20   1.48027958E+21
   1.46466671E-04   7.50649642E+20   7.29521074E+20   1.48017079E+21
   1.56466660E-04   7.08944198E+20   7.71221803E+20   1.48016600E+21
   1.66466663E-04   7.77213772E+20   7.02826762E+20   1.48004046E+21
   1.76466667E-04   7.01391873E+20   7.78617769E+20   1.48000964E+21
   1.86466670E-04   7.71251358E+20   7.08777635E+20   1.48002892E+21
   1.96466674E-04   7.21665600E+20   7.58197956E+20   1.47986356E+21
   2.06466662E-04   7.45707011E+20   7.34311145E+20   1.48001823E+21
   2.16466666E-04   7.47149430E+20   7.32688794E+20   1.47983822E+21
   2.26466669E-04   7.24802428E+20   7.55131427E+20   1.47993378E+21
   2.36466673E-04   7.62934124E+20   7.16970527E+20   1.47990465E+21
   2.46466661E-04   7.14373780E+20   7.65432848E+20   1.47980656E+21
   2.56466679E-04   7.66548263E+20   7.13424154E+20   1.47997235E+21
   2.66466668E-04   7.11369879E+20   7.68381721E+20   1.47975167E+21
   2.76466657E-04   7.61066468E+20   7.18919812E+20   1.47998628E+21
   2.86466675E-04   7.15807332E+20   7.63982830E+20   1.47979023E+21
   2.96466664E-04   7.46548199E+20   7.33427595E+20   1.47997572E+21
   3.06466653E-04   7.28601707E+20   7.51234969E+20   1.47983668E+21
   3.16466670E-04   7.34624779E+20   7.45333916E+20   1.47995870E+21
   3.26466659E-04   7.34335915E+20   7.45544952E+20   1.47988087E+21
   3.36466677E-04   7.41377997E+20   7.38534114E+20   1.47991211E+21
   3.46466666E-04   7.25871470E+20   7.54078429E+20   1.47994983E+21
   3.56466655E-04   7.59261298E+20   7.20566863E+20   1.47982823E+21
   3.66466673E-04   7.16218919E+20   7.63793608E+20   1.48001260E+21
   3.76466662E-04   7.67608157E+20   7.12167368E+20   1.47977560E+21
   3.86466680E-04   7.19223664E+20   7.60774297E+20   1.47999796E+21
   3.96466668E-04   7.58384715E+20   7.21387996E+20   1.47977278E+21
   4.06466657E-04   7.33030012E+20   7.46937127E+20   1.47996714E+21
   4.16466675E-04   7.41619713E+20   7.38174178E+20   1.47979389E+21
   4.26466664E-04   7.46228585E+20   7.33710689E+20   1.47993927E+21
   4.36466653E-04   7.31039069E+20   7.48775018E+20   1.47981416E+21
   4.46466671E-04   7.50555136E+20   7.29341916E+20   1.47989705E+21
   4.56466660E-04   7.29836256E+20   7.49964461E+20   1.47980065E+21
   4.66466678E-04   7.48903371E+20   7.30955963E+20   1.47985933E+21
   4.76466666E-04   7.32352009E+20   7.47390584E+20   1.47974266E+21
   4.86466655E-04   7.44423626E+20   7.35445771E+20   1.47986933E+21
   4.96466644E-04   7.37132580E+20   7.42579402E+20   1.47971198E+21
   5.06466662E-04   7.39142171E+20   7.40673394E+20   1.47981557E+21
   5.16466680E-04   7.40132822E+20   7.39558050E+20   1.47969087E+21
   5.26466640E-04   7.40059990E+20   7.39671625E+20   1.47973169E+21
   5.36466658E-04   7.36835694E+20   7.42917243E+20   1.47975294E+21
   5.46466676E-04   7.49746037E+20   7.29860181E+20   1.47960615E+21
   5.56466694E-04   7.28253170E+20   7.51551769E+20   1.47980487E+21
   5.66466653E-04   7.61468414E+20   7.18015714E+20   1.47948413E+21
