# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.75201548E+18   4.11420346E+18   6.86621922E+18
  -1.35333330E-05   8.50620370E+19   1.74996652E+20   2.60058689E+20
  -3.53333326E-06   1.01884667E+21   3.80574012E+20   1.39942068E+21
   6.46666649E-06   9.10137304E+20   5.50373827E+20   1.46051117E+21
   1.64666671E-05   6.33783905E+20   8.48147085E+20   1.48193099E+21
   2.64666669E-05   9.36138977E+20   5.45133643E+20   1.48127262E+21
   3.64666666E-05   5.99662594E+20   8.82067423E+20   1.48173002E+21
   4.64666664E-05   9.43089157E+20   5.37810614E+20   1.48089981E+21
   5.64666661E-05   6.06907338E+20   8.74630643E+20   1.48153791E+21
   6.64666659E-05   8.76610327E+20   6.04035800E+20   1.48064620E+21
   7.64666693E-05   6.46441976E+20   8.34949145E+20   1.48139112E+21
   8.64666654E-05   8.05683066E+20   6.74761455E+20   1.48044452E+21
   9.64666688E-05   6.92788660E+20   7.88345263E+20   1.48113399E+21
   1.06466665E-04   7.41643216E+20   7.38698707E+20   1.48034192E+21
   1.16466668E-04   7.35538446E+20   7.45252852E+20   1.48079130E+21
   1.26466664E-04   7.22513825E+20   7.57775462E+20   1.48028929E+21
   1.36466668E-04   7.33742144E+20   7.46748821E+20   1.48049096E+21
   1.46466671E-04   7.50720784E+20   7.29494053E+20   1.48021484E+21
   1.56466660E-04   7.08708181E+20   7.71533818E+20   1.48024200E+21
   1.66466663E-04   7.77663077E+20   7.02558797E+20   1.48022187E+21
   1.76466667E-04   7.00908510E+20   7.79065104E+20   1.47997361E+21
   1.86466670E-04   7.71808397E+20   7.08506153E+20   1.48031462E+21
   1.96466674E-04   7.21163449E+20   7.58612710E+20   1.47977616E+21
   2.06466662E-04   7.46280024E+20   7.34137827E+20   1.48041792E+21
   2.16466666E-04   7.46565229E+20   7.33090459E+20   1.47965569E+21
   2.26466669E-04   7.25572755E+20   7.54890414E+20   1.48046324E+21
   2.36466673E-04   7.62049167E+20   7.17561836E+20   1.47961093E+21
   2.46466661E-04   7.15536835E+20   7.64925771E+20   1.48046268E+21
   2.56466679E-04   7.65270719E+20   7.14355695E+20   1.47962641E+21
   2.66466668E-04   7.12812086E+20   7.67582121E+20   1.48039428E+21
   2.76466657E-04   7.59637349E+20   7.20097574E+20   1.47973492E+21
   2.86466675E-04   7.17281276E+20   7.63016245E+20   1.48029745E+21
   2.96466664E-04   7.45209434E+20   7.34657500E+20   1.47986693E+21
   3.06466653E-04   7.29846671E+20   7.50320738E+20   1.48016741E+21
   3.16466670E-04   7.33599858E+20   7.46397329E+20   1.47999712E+21
   3.26466659E-04   7.35228120E+20   7.44833806E+20   1.48006186E+21
   3.36466677E-04   7.40817299E+20   7.39219224E+20   1.48003652E+21
   3.46466666E-04   7.26114594E+20   7.53898918E+20   1.48001344E+21
   3.56466655E-04   7.59513078E+20   7.20495861E+20   1.48000894E+21
   3.66466673E-04   7.15698261E+20   7.64257972E+20   1.47995630E+21
   3.76466662E-04   7.68247528E+20   7.11744241E+20   1.47999177E+21
   3.86466680E-04   7.18838888E+20   7.61029383E+20   1.47986820E+21
   3.96466668E-04   7.58675901E+20   7.21326071E+20   1.48000190E+21
   4.06466657E-04   7.32684079E+20   7.47019177E+20   1.47970326E+21
   4.16466675E-04   7.42488627E+20   7.37562252E+20   1.48005088E+21
   4.26466664E-04   7.44893971E+20   7.34618868E+20   1.47951284E+21
   4.36466653E-04   7.32707371E+20   7.47424501E+20   1.48013194E+21
   4.46466671E-04   7.48955303E+20   7.30356422E+20   1.47931172E+21
   4.56466660E-04   7.31449178E+20   7.48745252E+20   1.48019443E+21
   4.66466678E-04   7.47169485E+20   7.31989047E+20   1.47915860E+21
   4.76466666E-04   7.34561728E+20   7.45630450E+20   1.48019218E+21
   4.86466655E-04   7.41934051E+20   7.37118225E+20   1.47905220E+21
   4.96466644E-04   7.39653962E+20   7.40506972E+20   1.48016093E+21
   5.06466662E-04   7.37008238E+20   7.42032707E+20   1.47904095E+21
   5.16466680E-04   7.41907521E+20   7.38143216E+20   1.48005074E+21
   5.26466640E-04   7.38759576E+20   7.40339636E+20   1.47909921E+21
   5.36466658E-04   7.37810161E+20   7.42093154E+20   1.47990339E+21
   5.46466676E-04   7.49179005E+20   7.30027378E+20   1.47920645E+21
   5.56466694E-04   7.28578274E+20   7.51138212E+20   1.47971649E+21
   5.66466653E-04   7.61426756E+20   7.17960967E+20   1.47938772E+21
