# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.75201548E+18   4.11420346E+18   6.86621922E+18
  -1.35333330E-05   8.50620370E+19   1.74996652E+20   2.60058689E+20
  -3.53333326E-06   1.01884667E+21   3.80574012E+20   1.39942068E+21
   6.46666649E-06   9.10137304E+20   5.50373827E+20   1.46051117E+21
   1.64666671E-05   6.33783905E+20   8.48147155E+20   1.48193113E+21
   2.64666669E-05   9.36137922E+20   5.45133784E+20   1.48127164E+21
   3.64666666E-05   5.99669138E+20   8.82061442E+20   1.48173058E+21
   4.64666664E-05   9.43115546E+20   5.37795485E+20   1.48091107E+21
   5.64666661E-05   6.06780603E+20   8.74689331E+20   1.48146993E+21
   6.64666659E-05   8.76889128E+20   6.03881200E+20   1.48077033E+21
   7.64666693E-05   6.45948832E+20   8.35193606E+20   1.48114244E+21
   8.64666654E-05   8.06415675E+20   6.74345787E+20   1.48076146E+21
   9.64666688E-05   6.91796813E+20   7.88910676E+20   1.48070756E+21
   1.06466665E-04   7.42809297E+20   7.38013597E+20   1.48082296E+21
   1.16466668E-04   7.34325571E+20   7.45957102E+20   1.48028267E+21
   1.26466664E-04   7.23587230E+20   7.57101752E+20   1.48068898E+21
   1.36466668E-04   7.32994757E+20   7.47108968E+20   1.48010380E+21
   1.46466671E-04   7.50968271E+20   7.29276613E+20   1.48024481E+21
   1.56466660E-04   7.09033496E+20   7.71167901E+20   1.48020147E+21
   1.66466663E-04   7.76740613E+20   7.03011761E+20   1.47975237E+21
   1.76466667E-04   7.02308355E+20   7.78026531E+20   1.48033489E+21
   1.86466670E-04   7.70085981E+20   7.09345441E+20   1.47943135E+21
   1.96466674E-04   7.22970378E+20   7.57358668E+20   1.48032898E+21
   2.06466662E-04   7.44617070E+20   7.34817378E+20   1.47943445E+21
   2.16466666E-04   7.47850303E+20   7.32206416E+20   1.48005679E+21
   2.26466669E-04   7.24755773E+20   7.55001667E+20   1.47975744E+21
   2.36466673E-04   7.62402277E+20   7.17236381E+20   1.47963866E+21
   2.46466661E-04   7.15513402E+20   7.64623748E+20   1.48013715E+21
   2.56466679E-04   7.65102115E+20   7.14203488E+20   1.47930553E+21
   2.66466668E-04   7.12937624E+20   7.67406480E+20   1.48034418E+21
   2.76466657E-04   7.59815663E+20   7.19481143E+20   1.47929681E+21
   2.86466675E-04   7.16551482E+20   7.63628805E+20   1.48018036E+21
   2.96466664E-04   7.46580569E+20   7.33091162E+20   1.47967173E+21
   3.06466653E-04   7.27879794E+20   7.51876732E+20   1.47975646E+21
   3.16466670E-04   7.36008017E+20   7.44141659E+20   1.48014968E+21
   3.26466659E-04   7.32681053E+20   7.46700900E+20   1.47938195E+21
   3.36466677E-04   7.43106323E+20   7.37239118E+20   1.48034544E+21
   3.46466666E-04   7.24454877E+20   7.54963879E+20   1.47941869E+21
   3.56466655E-04   7.60244279E+20   7.19836154E+20   1.48008043E+21
   3.66466673E-04   7.16006898E+20   7.63810145E+20   1.47981697E+21
   3.76466662E-04   7.66932969E+20   7.12657134E+20   1.47959010E+21
   3.86466680E-04   7.20944532E+20   7.59293949E+20   1.48023848E+21
   3.96466668E-04   7.56098645E+20   7.23102741E+20   1.47920139E+21
   4.06466657E-04   7.35306230E+20   7.44990869E+20   1.48029717E+21
   4.16466675E-04   7.40163643E+20   7.39109027E+20   1.47927260E+21
   4.26466664E-04   7.46668389E+20   7.33245903E+20   1.47991436E+21
   4.36466653E-04   7.31585342E+20   7.48087164E+20   1.47967258E+21
   4.46466671E-04   7.49466180E+20   7.29894662E+20   1.47936084E+21
   4.56466660E-04   7.31351295E+20   7.48702257E+20   1.48005355E+21
   4.66466678E-04   7.47184685E+20   7.31800388E+20   1.47898507E+21
   4.76466666E-04   7.34225014E+20   7.45864004E+20   1.48008902E+21
   4.86466655E-04   7.42929627E+20   7.36141999E+20   1.47907163E+21
   4.96466644E-04   7.37811568E+20   7.41872830E+20   1.47968440E+21
   5.06466662E-04   7.39730101E+20   7.39784426E+20   1.47951453E+21
   5.16466680E-04   7.38490697E+20   7.40556301E+20   1.47904700E+21
   5.26466640E-04   7.42523459E+20   7.37433336E+20   1.47995687E+21
   5.36466658E-04   7.34182581E+20   7.44442063E+20   1.47862464E+21
   5.46466676E-04   7.52183188E+20   7.27820191E+20   1.48000331E+21
   5.56466694E-04   7.26562209E+20   7.52162007E+20   1.47872429E+21
   5.66466653E-04   7.62249788E+20   7.17350237E+20   1.47959996E+21
