# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.75201548E+18   4.11420346E+18   6.86621922E+18
  -1.35333330E-05   8.50620370E+19   1.74996652E+20   2.60058689E+20
  -3.53333326E-06   1.01884667E+21   3.80574012E+20   1.39942068E+21
   6.46666649E-06   9.10137304E+20   5.50373827E+20   1.46051117E+21
   1.64666671E-05   6.33783905E+20   8.48147155E+20   1.48193113E+21
   2.64666669E-05   9.36137922E+20   5.45133784E+20   1.48127164E+21
   3.64666666E-05   5.99669279E+20   8.82061512E+20   1.48173072E+21
   4.64666664E-05   9.43119909E+20   5.37793233E+20   1.48091318E+21
   5.64666661E-05   6.06756045E+20   8.74702842E+20   1.48145882E+21
   6.64666659E-05   8.76853451E+20   6.03897948E+20   1.48075147E+21
   7.64666693E-05   6.46166130E+20   8.35078554E+20   1.48124461E+21
   8.64666654E-05   8.05968552E+20   6.74582507E+20   1.48055106E+21
   9.64666688E-05   6.92442376E+20   7.88562562E+20   1.48100494E+21
   1.06466665E-04   7.42032637E+20   7.38433487E+20   1.48046605E+21
   1.16466668E-04   7.35136008E+20   7.45527360E+20   1.48066337E+21
   1.26466664E-04   7.22862995E+20   7.57568226E+20   1.48043115E+21
   1.36466668E-04   7.33481357E+20   7.46863240E+20   1.48034460E+21
   1.46466671E-04   7.50885940E+20   7.29442050E+20   1.48032799E+21
   1.56466660E-04   7.08615506E+20   7.71508837E+20   1.48012434E+21
   1.66466663E-04   7.77685876E+20   7.02571042E+20   1.48025692E+21
   1.76466667E-04   7.00932013E+20   7.79002405E+20   1.47993435E+21
   1.86466670E-04   7.71766106E+20   7.08489827E+20   1.48025593E+21
   1.96466674E-04   7.21228399E+20   7.58563029E+20   1.47979136E+21
   2.06466662E-04   7.46173627E+20   7.34096169E+20   1.48026987E+21
   2.16466666E-04   7.46722151E+20   7.32994898E+20   1.47971705E+21
   2.26466669E-04   7.25319709E+20   7.54934676E+20   1.48025438E+21
   2.36466673E-04   7.62431481E+20   7.17328775E+20   1.47976026E+21
   2.46466661E-04   7.14990421E+20   7.65185502E+20   1.48017585E+21
   2.56466679E-04   7.65915507E+20   7.13931161E+20   1.47984667E+21
   2.66466668E-04   7.12160261E+20   7.67963801E+20   1.48012406E+21
   2.76466657E-04   7.60246461E+20   7.19648973E+20   1.47989550E+21
   2.86466675E-04   7.16701367E+20   7.63414180E+20   1.48011562E+21
   2.96466664E-04   7.45773510E+20   7.34198485E+20   1.47997207E+21
   3.06466653E-04   7.29307013E+20   7.50761176E+20   1.48006819E+21
   3.16466670E-04   7.34097083E+20   7.45950698E+20   1.48004778E+21
   3.26466659E-04   7.34789934E+20   7.45214571E+20   1.48000443E+21
   3.36466677E-04   7.41144372E+20   7.38905169E+20   1.48004947E+21
   3.46466666E-04   7.25913691E+20   7.54107914E+20   1.48002160E+21
   3.56466655E-04   7.59548473E+20   7.20443366E+20   1.47999177E+21
   3.66466673E-04   7.15797973E+20   7.64262194E+20   1.48006017E+21
   3.76466662E-04   7.68046273E+20   7.11888426E+20   1.47993463E+21
   3.86466680E-04   7.19087923E+20   7.60968866E+20   1.48005679E+21
   3.96466668E-04   7.58338342E+20   7.21583058E+20   1.47992140E+21
   4.06466657E-04   7.33142250E+20   7.46865562E+20   1.48000781E+21
   4.16466675E-04   7.41842642E+20   7.38063066E+20   1.47990564E+21
   4.26466664E-04   7.45774003E+20   7.34163723E+20   1.47993773E+21
   4.36466653E-04   7.31532987E+20   7.48333806E+20   1.47986679E+21
   4.46466671E-04   7.50412147E+20   7.29480894E+20   1.47989297E+21
   4.56466660E-04   7.29785591E+20   7.49999646E+20   1.47978517E+21
   4.66466678E-04   7.48920682E+20   7.30922609E+20   1.47984329E+21
   4.76466666E-04   7.32813769E+20   7.46931568E+20   1.47974534E+21
   4.86466655E-04   7.43611501E+20   7.36119340E+20   1.47973084E+21
   4.96466644E-04   7.38087132E+20   7.41677345E+20   1.47976448E+21
   5.06466662E-04   7.38438624E+20   7.41211152E+20   1.47964978E+21
   5.16466680E-04   7.40627444E+20   7.39112475E+20   1.47973985E+21
   5.26466640E-04   7.39899549E+20   7.39714691E+20   1.47961431E+21
   5.36466658E-04   7.36808250E+20   7.42850955E+20   1.47965921E+21
   5.46466676E-04   7.50047285E+20   7.29579340E+20   1.47962670E+21
   5.56466694E-04   7.27837854E+20   7.51720654E+20   1.47955858E+21
   5.66466653E-04   7.62067111E+20   7.17601031E+20   1.47966807E+21
