# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.75201548E+18   4.11420346E+18   6.86621922E+18
  -1.35333330E-05   8.50620370E+19   1.74996652E+20   2.60058689E+20
  -3.53333326E-06   1.01884667E+21   3.80574012E+20   1.39942068E+21
   6.46666649E-06   9.10141174E+20   5.50371716E+20   1.46051286E+21
   1.64666671E-05   6.33805227E+20   8.48140681E+20   1.48194591E+21
   2.64666669E-05   9.36029413E+20   5.45196588E+20   1.48122604E+21
   3.64666666E-05   5.99903959E+20   8.81914723E+20   1.48181868E+21
   4.64666664E-05   9.42747306E+20   5.38023761E+20   1.48077103E+21
   5.64666661E-05   6.07219212E+20   8.74305680E+20   1.48152496E+21
   6.64666659E-05   8.76442709E+20   6.04143676E+20   1.48058638E+21
   7.64666693E-05   6.46355774E+20   8.34757672E+20   1.48111345E+21
   8.64666654E-05   8.06094583E+20   6.74429948E+20   1.48052460E+21
   9.64666688E-05   6.91966964E+20   7.88632508E+20   1.48059947E+21
   1.06466665E-04   7.42799516E+20   7.37716218E+20   1.48051573E+21
   1.16466668E-04   7.34209040E+20   7.45910659E+20   1.48011970E+21
   1.26466664E-04   7.23778985E+20   7.56583556E+20   1.48036247E+21
   1.36466668E-04   7.32707301E+20   7.47162307E+20   1.47986961E+21
   1.46466671E-04   7.51373595E+20   7.28667502E+20   1.48004103E+21
   1.56466660E-04   7.08514949E+20   7.71301320E+20   1.47981627E+21
   1.66466663E-04   7.77387865E+20   7.02312296E+20   1.47970016E+21
   1.76466667E-04   7.01558787E+20   7.78244252E+20   1.47980304E+21
   1.86466670E-04   7.70951658E+20   7.08570892E+20   1.47952255E+21
   1.96466674E-04   7.22113286E+20   7.57638032E+20   1.47975139E+21
   2.06466662E-04   7.45342572E+20   7.34149016E+20   1.47949159E+21
   2.16466666E-04   7.47431679E+20   7.32233156E+20   1.47966484E+21
   2.26466669E-04   7.24893696E+20   7.54617383E+20   1.47951101E+21
   2.36466673E-04   7.62536048E+20   7.17044133E+20   1.47958025E+21
   2.46466661E-04   7.15188580E+20   7.64407716E+20   1.47959630E+21
   2.56466679E-04   7.65617425E+20   7.13910543E+20   1.47952790E+21
   2.66466668E-04   7.12362641E+20   7.67310216E+20   1.47967286E+21
   2.76466657E-04   7.60339910E+20   7.19195657E+20   1.47953550E+21
   2.86466675E-04   7.16275003E+20   7.63427832E+20   1.47970283E+21
   2.96466664E-04   7.46510482E+20   7.33082788E+20   1.47959320E+21
   3.06466653E-04   7.28378638E+20   7.51318637E+20   1.47969735E+21
   3.16466670E-04   7.35084146E+20   7.44595115E+20   1.47967933E+21
   3.26466659E-04   7.33872607E+20   7.45840431E+20   1.47971311E+21
   3.36466677E-04   7.41980142E+20   7.37739159E+20   1.47971930E+21
   3.46466666E-04   7.25161238E+20   7.54566647E+20   1.47972789E+21
   3.56466655E-04   7.60217258E+20   7.19541027E+20   1.47975828E+21
   3.66466673E-04   7.15347191E+20   7.64381047E+20   1.47972831E+21
   3.76466662E-04   7.68116712E+20   7.11687946E+20   1.47980459E+21
   3.86466680E-04   7.19410141E+20   7.60333648E+20   1.47974379E+21
   3.96466668E-04   7.57901422E+20   7.21890429E+20   1.47979192E+21
   4.06466657E-04   7.33339494E+20   7.46410840E+20   1.47975026E+21
   4.16466675E-04   7.42034889E+20   7.37737962E+20   1.47977278E+21
   4.26466664E-04   7.45389437E+20   7.34309456E+20   1.47969889E+21
   4.36466653E-04   7.31964066E+20   7.47839325E+20   1.47980346E+21
   4.46466671E-04   7.49919496E+20   7.29682852E+20   1.47960235E+21
   4.56466660E-04   7.30596590E+20   7.49210742E+20   1.47980740E+21
   4.66466678E-04   7.47833133E+20   7.31714820E+20   1.47954788E+21
   4.76466666E-04   7.33902303E+20   7.45859571E+20   1.47976180E+21
   4.86466655E-04   7.43025540E+20   7.36528253E+20   1.47955379E+21
   4.96466644E-04   7.37980453E+20   7.41675586E+20   1.47965597E+21
   5.06466662E-04   7.39172500E+20   7.40447511E+20   1.47961994E+21
   5.16466680E-04   7.39544046E+20   7.39964922E+20   1.47950904E+21
   5.26466640E-04   7.41038890E+20   7.38639527E+20   1.47967849E+21
   5.36466658E-04   7.35917312E+20   7.43494900E+20   1.47941221E+21
   5.46466676E-04   7.50485612E+20   7.29197519E+20   1.47968313E+21
   5.56466694E-04   7.27728712E+20   7.51681670E+20   1.47941038E+21
   5.66466653E-04   7.62055008E+20   7.17542766E+20   1.47959770E+21
