# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.75201548E+18   4.11420346E+18   6.86621922E+18
  -1.35333330E-05   8.50620370E+19   1.74996652E+20   2.60058689E+20
  -3.53333326E-06   1.01884667E+21   3.80574012E+20   1.39942068E+21
   6.46666649E-06   9.10137304E+20   5.50373827E+20   1.46051117E+21
   1.64666671E-05   6.33783905E+20   8.48147155E+20   1.48193113E+21
   2.64666669E-05   9.36137922E+20   5.45133784E+20   1.48127164E+21
   3.64666666E-05   5.99669349E+20   8.82061512E+20   1.48173086E+21
   4.64666664E-05   9.43119135E+20   5.37793338E+20   1.48091247E+21
   5.64666661E-05   6.06751682E+20   8.74704179E+20   1.48145586E+21
   6.64666659E-05   8.76921568E+20   6.03860793E+20   1.48078243E+21
   7.64666693E-05   6.45993657E+20   8.35168626E+20   1.48116228E+21
   8.64666654E-05   8.06201332E+20   6.74451832E+20   1.48065323E+21
   9.64666688E-05   6.92220010E+20   7.88687607E+20   1.48090769E+21
   1.06466665E-04   7.42178652E+20   7.38343485E+20   1.48052207E+21
   1.16466668E-04   7.35122919E+20   7.45545445E+20   1.48066843E+21
   1.26466664E-04   7.22714587E+20   7.57634936E+20   1.48034952E+21
   1.36466668E-04   7.33770784E+20   7.46725106E+20   1.48049589E+21
   1.46466671E-04   7.50468231E+20   7.29724018E+20   1.48019218E+21
   1.56466660E-04   7.09152349E+20   7.71224900E+20   1.48037725E+21
   1.66466663E-04   7.77061283E+20   7.03049831E+20   1.48011111E+21
   1.76466667E-04   7.01599038E+20   7.78668505E+20   1.48026761E+21
   1.86466670E-04   7.71091691E+20   7.09019915E+20   1.48011168E+21
   1.96466674E-04   7.21866785E+20   7.58291687E+20   1.48015840E+21
   2.06466662E-04   7.45576829E+20   7.34580306E+20   1.48015713E+21
   2.16466666E-04   7.47282005E+20   7.32809265E+20   1.48009127E+21
   2.26466669E-04   7.24800106E+20   7.55362166E+20   1.48016234E+21
   2.36466673E-04   7.62892748E+20   7.17187052E+20   1.48007987E+21
   2.46466661E-04   7.14588475E+20   7.65587237E+20   1.48017571E+21
   2.56466679E-04   7.66314428E+20   7.13746935E+20   1.48006129E+21
   2.66466668E-04   7.11682387E+20   7.68500925E+20   1.48018331E+21
   2.76466657E-04   7.60844595E+20   7.19225705E+20   1.48007030E+21
   2.86466675E-04   7.16005842E+20   7.64157415E+20   1.48016319E+21
   2.96466664E-04   7.46509215E+20   7.33629624E+20   1.48013884E+21
   3.06466653E-04   7.28626547E+20   7.51472745E+20   1.48009929E+21
   3.16466670E-04   7.34647437E+20   7.45553748E+20   1.48020119E+21
   3.26466659E-04   7.34395165E+20   7.45672038E+20   1.48006720E+21
   3.36466677E-04   7.41384611E+20   7.38821782E+20   1.48020639E+21
   3.46466666E-04   7.25834104E+20   7.54255758E+20   1.48008986E+21
   3.56466655E-04   7.59483452E+20   7.20644972E+20   1.48012842E+21
   3.66466673E-04   7.15972769E+20   7.64173177E+20   1.48014602E+21
   3.76466662E-04   7.67806386E+20   7.12247448E+20   1.48005383E+21
   3.86466680E-04   7.19343010E+20   7.60822218E+20   1.48016516E+21
   3.96466668E-04   7.58122310E+20   7.21916606E+20   1.48003892E+21
   4.06466657E-04   7.33303957E+20   7.46793927E+20   1.48009788E+21
   4.16466675E-04   7.41733922E+20   7.38328286E+20   1.48006214E+21
   4.26466664E-04   7.45796380E+20   7.34237328E+20   1.48003371E+21
   4.36466653E-04   7.31637696E+20   7.48448296E+20   1.48008606E+21
   4.46466671E-04   7.50189500E+20   7.29790798E+20   1.47998023E+21
   4.56466660E-04   7.30004789E+20   7.50048622E+20   1.48005341E+21
   4.66466678E-04   7.48826317E+20   7.31165662E+20   1.47999205E+21
   4.76466666E-04   7.32691257E+20   7.47282990E+20   1.47997432E+21
   4.86466655E-04   7.44014221E+20   7.36022232E+20   1.48003652E+21
   4.96466644E-04   7.37443328E+20   7.42450205E+20   1.47989353E+21
   5.06466662E-04   7.39214510E+20   7.40858253E+20   1.48007283E+21
   5.16466680E-04   7.39856484E+20   7.39991099E+20   1.47984765E+21
   5.26466640E-04   7.40550742E+20   7.39532225E+20   1.48008297E+21
   5.36466658E-04   7.36363098E+20   7.43412216E+20   1.47977531E+21
   5.46466676E-04   7.50280909E+20   7.29778272E+20   1.48005918E+21
   5.56466694E-04   7.27794366E+20   7.51998962E+20   1.47979333E+21
   5.66466653E-04   7.61818991E+20   7.18105012E+20   1.47992393E+21
