# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.75201548E+18   4.11420346E+18   6.86621922E+18
  -1.35333330E-05   8.50620370E+19   1.74996652E+20   2.60058689E+20
  -3.53333326E-06   1.01884674E+21   3.80573977E+20   1.39942068E+21
   6.46666649E-06   9.10140823E+20   5.50371716E+20   1.46051257E+21
   1.64666671E-05   6.33806423E+20   8.48141737E+20   1.48194816E+21
   2.64666669E-05   9.36031946E+20   5.45197397E+20   1.48122941E+21
   3.64666666E-05   5.99908744E+20   8.81917538E+20   1.48182628E+21
   4.64666664E-05   9.42751669E+20   5.38025766E+20   1.48077737E+21
   5.64666661E-05   6.07224138E+20   8.74310817E+20   1.48153495E+21
   6.64666659E-05   8.76449394E+20   6.04152261E+20   1.48060172E+21
   7.64666693E-05   6.46364078E+20   8.34766257E+20   1.48113033E+21
   8.64666654E-05   8.06108445E+20   6.74439870E+20   1.48054824E+21
   9.64666688E-05   6.91982164E+20   7.88645597E+20   1.48062776E+21
   1.06466665E-04   7.42808523E+20   7.37734585E+20   1.48054318E+21
   1.16466668E-04   7.34225506E+20   7.45927406E+20   1.48015291E+21
   1.26466664E-04   7.23802347E+20   7.56586371E+20   1.48038865E+21
   1.36466668E-04   7.32696745E+20   7.47203825E+20   1.47990057E+21
   1.46466671E-04   7.51440868E+20   7.28633021E+20   1.48007396E+21
   1.56466660E-04   7.08460413E+20   7.71373307E+20   1.47983372E+21
   1.66466663E-04   7.77454363E+20   7.02275563E+20   1.47973000E+21
   1.76466667E-04   7.01529021E+20   7.78279718E+20   1.47980881E+21
   1.86466670E-04   7.70954121E+20   7.08577436E+20   1.47953156E+21
   1.96466674E-04   7.22153889E+20   7.57612629E+20   1.47976659E+21
   2.06466662E-04   7.45263337E+20   7.34207070E+20   1.47947048E+21
   2.16466666E-04   7.47524495E+20   7.32179676E+20   1.47970410E+21
   2.26466669E-04   7.24774843E+20   7.54689230E+20   1.47946400E+21
   2.36466673E-04   7.62653353E+20   7.16983405E+20   1.47963683E+21
   2.46466661E-04   7.15094004E+20   7.64465771E+20   1.47955970E+21
   2.56466679E-04   7.65621436E+20   7.13914554E+20   1.47953606E+21
   2.66466668E-04   7.12449054E+20   7.67273554E+20   1.47972268E+21
   2.76466657E-04   7.60131056E+20   7.19321899E+20   1.47945303E+21
   2.86466675E-04   7.16584062E+20   7.63259861E+20   1.47984399E+21
   2.96466664E-04   7.46123665E+20   7.33390229E+20   1.47951382E+21
   3.06466653E-04   7.28735267E+20   7.51091276E+20   1.47982654E+21
   3.16466670E-04   7.34860303E+20   7.44795455E+20   1.47965569E+21
   3.26466659E-04   7.33943609E+20   7.45826357E+20   1.47976997E+21
   3.36466677E-04   7.41932502E+20   7.37794679E+20   1.47972718E+21
   3.46466666E-04   7.25279669E+20   7.54501979E+20   1.47978165E+21
   3.56466655E-04   7.59975752E+20   7.19762337E+20   1.47973816E+21
   3.66466673E-04   7.15619940E+20   7.64195906E+20   1.47981585E+21
   3.76466662E-04   7.67947897E+20   7.11816932E+20   1.47976490E+21
   3.86466680E-04   7.19366161E+20   7.60421397E+20   1.47978756E+21
   3.96466668E-04   7.58108799E+20   7.21738010E+20   1.47984681E+21
   4.06466657E-04   7.33111006E+20   7.46622368E+20   1.47973337E+21
   4.16466675E-04   7.42157049E+20   7.37725226E+20   1.47988227E+21
   4.26466664E-04   7.45376560E+20   7.34315578E+20   1.47969214E+21
   4.36466653E-04   7.31874135E+20   7.47965285E+20   1.47983949E+21
   4.46466671E-04   7.50159664E+20   7.29511786E+20   1.47967145E+21
   4.56466660E-04   7.30118224E+20   7.49632954E+20   1.47975111E+21
   4.66466678E-04   7.48544701E+20   7.31089946E+20   1.47963458E+21
   4.76466666E-04   7.33136339E+20   7.46515478E+20   1.47965175E+21
   4.86466655E-04   7.43661533E+20   7.35949541E+20   1.47961107E+21
   4.96466644E-04   7.37500116E+20   7.42033482E+20   1.47953353E+21
   5.06466662E-04   7.39650022E+20   7.40026072E+20   1.47967609E+21
   5.16466680E-04   7.39004600E+20   7.40346391E+20   1.47935099E+21
   5.26466640E-04   7.41628580E+20   7.38126890E+20   1.47975547E+21
   5.36466658E-04   7.35413542E+20   7.43817329E+20   1.47923094E+21
   5.46466676E-04   7.50921335E+20   7.28806691E+20   1.47972803E+21
   5.56466694E-04   7.27389816E+20   7.51863714E+20   1.47925346E+21
   5.66466653E-04   7.62297991E+20   7.17313012E+20   1.47961093E+21
