# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.75201548E+18   4.11420346E+18   6.86621922E+18
  -1.35333330E-05   8.50620370E+19   1.74996652E+20   2.60058689E+20
  -3.53333326E-06   1.01884667E+21   3.80574012E+20   1.39942068E+21
   6.46666649E-06   9.10137304E+20   5.50373827E+20   1.46051117E+21
   1.64666671E-05   6.33783905E+20   8.48147155E+20   1.48193113E+21
   2.64666669E-05   9.36137922E+20   5.45133784E+20   1.48127164E+21
   3.64666666E-05   5.99669349E+20   8.82061512E+20   1.48173086E+21
   4.64666664E-05   9.43119135E+20   5.37793303E+20   1.48091247E+21
   5.64666661E-05   6.06751682E+20   8.74703967E+20   1.48145572E+21
   6.64666659E-05   8.76922131E+20   6.03861145E+20   1.48078328E+21
   7.64666693E-05   6.45995908E+20   8.35169751E+20   1.48116566E+21
   8.64666654E-05   8.06203302E+20   6.74453451E+20   1.48065675E+21
   9.64666688E-05   6.92222403E+20   7.88691970E+20   1.48091444E+21
   1.06466665E-04   7.42184915E+20   7.38351789E+20   1.48053670E+21
   1.16466668E-04   7.35130308E+20   7.45553326E+20   1.48068363E+21
   1.26466664E-04   7.22723032E+20   7.57648587E+20   1.48037162E+21
   1.36466668E-04   7.33779720E+20   7.46736225E+20   1.48051587E+21
   1.46466671E-04   7.50476183E+20   7.29735699E+20   1.48021188E+21
   1.56466660E-04   7.09167408E+20   7.71234188E+20   1.48040160E+21
   1.66466663E-04   7.77070079E+20   7.03061371E+20   1.48013138E+21
   1.76466667E-04   7.01610016E+20   7.78682720E+20   1.48029267E+21
   1.86466670E-04   7.71113647E+20   7.09023011E+20   1.48013673E+21
   1.96466674E-04   7.21852641E+20   7.58322368E+20   1.48017501E+21
   2.06466662E-04   7.45613421E+20   7.34560532E+20   1.48017388E+21
   2.16466666E-04   7.47247313E+20   7.32857608E+20   1.48010492E+21
   2.26466669E-04   7.24859497E+20   7.55333808E+20   1.48019330E+21
   2.36466673E-04   7.62853904E+20   7.17223714E+20   1.48007762E+21
   2.46466661E-04   7.14606067E+20   7.65585408E+20   1.48019147E+21
   2.56466679E-04   7.66310276E+20   7.13759390E+20   1.48006974E+21
   2.66466668E-04   7.11752615E+20   7.68453989E+20   1.48020653E+21
   2.76466657E-04   7.60701606E+20   7.19352720E+20   1.48005426E+21
   2.86466675E-04   7.16245589E+20   7.63963197E+20   1.48020879E+21
   2.96466664E-04   7.46217326E+20   7.33878589E+20   1.48009591E+21
   3.06466653E-04   7.28918155E+20   7.51240669E+20   1.48015882E+21
   3.16466670E-04   7.34423876E+20   7.45739733E+20   1.48016361E+21
   3.26466659E-04   7.34593113E+20   7.45513920E+20   1.48010703E+21
   3.36466677E-04   7.41188353E+20   7.38971456E+20   1.48015981E+21
   3.46466666E-04   7.26041973E+20   7.54122339E+20   1.48016431E+21
   3.56466655E-04   7.59271150E+20   7.20803794E+20   1.48007494E+21
   3.66466673E-04   7.16192319E+20   7.64049891E+20   1.48024228E+21
   3.76466662E-04   7.67597391E+20   7.12410844E+20   1.48000823E+21
   3.86466680E-04   7.19533779E+20   7.60704280E+20   1.48023806E+21
   3.96466668E-04   7.57944136E+20   7.22069024E+20   1.48001316E+21
   4.06466657E-04   7.33481920E+20   7.46689007E+20   1.48017093E+21
   4.16466675E-04   7.41562644E+20   7.38481127E+20   1.48004384E+21
   4.26466664E-04   7.46005093E+20   7.34113550E+20   1.48011871E+21
   4.36466653E-04   7.31367621E+20   7.48674954E+20   1.48004257E+21
   4.46466671E-04   7.50569984E+20   7.29525930E+20   1.48009591E+21
   4.56466660E-04   7.29547181E+20   7.50436847E+20   1.47998403E+21
   4.66466678E-04   7.49295888E+20   7.30815226E+20   1.48011111E+21
   4.76466666E-04   7.32318584E+20   7.47611542E+20   1.47993013E+21
   4.86466655E-04   7.44233912E+20   7.35845043E+20   1.48007903E+21
   4.96466644E-04   7.37381756E+20   7.42536688E+20   1.47991844E+21
   5.06466662E-04   7.39198888E+20   7.40837917E+20   1.48003680E+21
   5.16466680E-04   7.39897086E+20   7.39983147E+20   1.47988030E+21
   5.26466640E-04   7.40575300E+20   7.39465304E+20   1.48004060E+21
   5.36466658E-04   7.36222923E+20   7.43553798E+20   1.47977672E+21
   5.46466676E-04   7.50556192E+20   7.29527689E+20   1.48008381E+21
   5.56466694E-04   7.27390450E+20   7.52312385E+20   1.47970283E+21
   5.66466653E-04   7.62319313E+20   7.17749932E+20   1.48006917E+21
