# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.75201521E+18   4.11420346E+18   6.86621867E+18
  -1.35333330E-05   8.50620634E+19   1.74996635E+20   2.60058707E+20
  -3.53333326E-06   1.01884653E+21   3.80573977E+20   1.39942054E+21
   6.46666649E-06   9.10137163E+20   5.50373722E+20   1.46051089E+21
   1.64666671E-05   6.33783483E+20   8.48147226E+20   1.48193071E+21
   2.64666669E-05   9.36137851E+20   5.45133502E+20   1.48127135E+21
   3.64666666E-05   5.99668997E+20   8.82061090E+20   1.48173016E+21
   4.64666664E-05   9.43119275E+20   5.37793057E+20   1.48091233E+21
   5.64666661E-05   6.06752315E+20   8.74703123E+20   1.48145544E+21
   6.64666659E-05   8.76916783E+20   6.03862341E+20   1.48077905E+21
   7.64666693E-05   6.45983383E+20   8.35168696E+20   1.48115201E+21
   8.64666654E-05   8.06256360E+20   6.74415170E+20   1.48067153E+21
   9.64666688E-05   6.92098273E+20   7.88734402E+20   1.48083267E+21
   1.06466665E-04   7.42368155E+20   7.38223436E+20   1.48059159E+21
   1.16466668E-04   7.34883665E+20   7.45642131E+20   1.48052573E+21
   1.26466664E-04   7.22972841E+20   7.57457466E+20   1.48043031E+21
   1.36466668E-04   7.33516893E+20   7.46819471E+20   1.48033629E+21
   1.46466671E-04   7.50677578E+20   7.29541904E+20   1.48021948E+21
   1.56466660E-04   7.08970235E+20   7.71253399E+20   1.48022370E+21
   1.66466663E-04   7.77242835E+20   7.02850828E+20   1.48009366E+21
   1.76466667E-04   7.01411787E+20   7.78648802E+20   1.48006059E+21
   1.86466670E-04   7.71281757E+20   7.08803672E+20   1.48008550E+21
   1.96466674E-04   7.21693818E+20   7.58223641E+20   1.47991746E+21
   2.06466662E-04   7.45714330E+20   7.34355900E+20   1.48007030E+21
   2.16466666E-04   7.47191651E+20   7.32704979E+20   1.47989663E+21
   2.26466669E-04   7.24819879E+20   7.55163797E+20   1.47998361E+21
   2.36466673E-04   7.62966916E+20   7.17001279E+20   1.47996812E+21
   2.46466661E-04   7.14413749E+20   7.65459096E+20   1.47987285E+21
   2.56466679E-04   7.66538904E+20   7.13482208E+20   1.48002104E+21
   2.66466668E-04   7.11473603E+20   7.68373347E+20   1.47984695E+21
   2.76466657E-04   7.60984910E+20   7.19019806E+20   1.48000472E+21
   2.86466675E-04   7.15959610E+20   7.63950742E+20   1.47991042E+21
   2.96466664E-04   7.46469949E+20   7.33501764E+20   1.47997178E+21
   3.06466653E-04   7.28713523E+20   7.51234687E+20   1.47994814E+21
   3.16466670E-04   7.34558914E+20   7.45408578E+20   1.47996756E+21
   3.26466659E-04   7.34487067E+20   7.45472191E+20   1.47995926E+21
   3.36466677E-04   7.41292991E+20   7.38652052E+20   1.47994504E+21
   3.46466666E-04   7.25927554E+20   7.54079062E+20   1.48000669E+21
   3.56466655E-04   7.59396688E+20   7.20470528E+20   1.47986722E+21
   3.66466673E-04   7.16057915E+20   7.64026036E+20   1.48008395E+21
   3.76466662E-04   7.67720747E+20   7.12075185E+20   1.47979586E+21
   3.86466680E-04   7.19431111E+20   7.60678806E+20   1.48010999E+21
   3.96466668E-04   7.58010142E+20   7.21785438E+20   1.47979558E+21
   4.06466657E-04   7.33433717E+20   7.46632923E+20   1.48006664E+21
   4.16466675E-04   7.41585725E+20   7.38243562E+20   1.47982936E+21
   4.26466664E-04   7.46010160E+20   7.33995260E+20   1.48000542E+21
   4.36466653E-04   7.31318714E+20   7.48527180E+20   1.47984596E+21
   4.46466671E-04   7.50620931E+20   7.29341916E+20   1.47996278E+21
   4.56466660E-04   7.29517274E+20   7.50288650E+20   1.47980599E+21
   4.66466678E-04   7.49286740E+20   7.30659007E+20   1.47994575E+21
   4.76466666E-04   7.32341806E+20   7.47453704E+20   1.47979558E+21
   4.86466655E-04   7.44144051E+20   7.35723094E+20   1.47986707E+21
   4.96466644E-04   7.37558029E+20   7.42279843E+20   1.47983780E+21
   5.06466662E-04   7.38899117E+20   7.40871905E+20   1.47977109E+21
   5.16466680E-04   7.40253223E+20   7.39598019E+20   1.47985131E+21
   5.26466640E-04   7.40175817E+20   7.39554180E+20   1.47973000E+21
   5.36466658E-04   7.36624166E+20   7.43157693E+20   1.47978179E+21
   5.46466676E-04   7.50136231E+20   7.29603476E+20   1.47973971E+21
   5.56466694E-04   7.27846439E+20   7.51860477E+20   1.47970692E+21
   5.66466653E-04   7.61951143E+20   7.17783075E+20   1.47973422E+21
