# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :      50
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -2.35333337E-05   2.75201548E+18   4.11420346E+18   6.86621922E+18
  -1.35333330E-05   8.50620370E+19   1.74996652E+20   2.60058689E+20
  -3.53333326E-06   1.01884667E+21   3.80574012E+20   1.39942068E+21
   6.46666649E-06   9.10137304E+20   5.50373827E+20   1.46051117E+21
   1.64666671E-05   6.33783905E+20   8.48147155E+20   1.48193113E+21
   2.64666669E-05   9.36137922E+20   5.45133784E+20   1.48127164E+21
   3.64666666E-05   5.99669349E+20   8.82061512E+20   1.48173086E+21
   4.64666664E-05   9.43119135E+20   5.37793303E+20   1.48091247E+21
   5.64666661E-05   6.06753019E+20   8.74703193E+20   1.48145628E+21
   6.64666659E-05   8.76915446E+20   6.03863256E+20   1.48077877E+21
   7.64666693E-05   6.45983735E+20   8.35169329E+20   1.48115313E+21
   8.64666654E-05   8.06257205E+20   6.74416296E+20   1.48067350E+21
   9.64666688E-05   6.92098061E+20   7.88736091E+20   1.48083422E+21
   1.06466665E-04   7.42369633E+20   7.38224562E+20   1.48059412E+21
   1.16466668E-04   7.34883876E+20   7.45642835E+20   1.48052671E+21
   1.26466664E-04   7.22973122E+20   7.57457818E+20   1.48043087E+21
   1.36466668E-04   7.33517597E+20   7.46819964E+20   1.48033756E+21
   1.46466671E-04   7.50679126E+20   7.29542466E+20   1.48022159E+21
   1.56466660E-04   7.08969390E+20   7.71254595E+20   1.48022399E+21
   1.66466663E-04   7.77244101E+20   7.02850617E+20   1.48009479E+21
   1.76466667E-04   7.01413054E+20   7.78649365E+20   1.48006242E+21
   1.86466670E-04   7.71279998E+20   7.08804657E+20   1.48008466E+21
   1.96466674E-04   7.21695155E+20   7.58225330E+20   1.47992056E+21
   2.06466662E-04   7.45715948E+20   7.34356674E+20   1.48007255E+21
   2.16466666E-04   7.47191651E+20   7.32705823E+20   1.47989747E+21
   2.26466669E-04   7.24819527E+20   7.55165415E+20   1.47998501E+21
   2.36466673E-04   7.62967479E+20   7.17002334E+20   1.47996981E+21
   2.46466661E-04   7.14414875E+20   7.65460925E+20   1.47987580E+21
   2.56466679E-04   7.66536934E+20   7.13484460E+20   1.48002132E+21
   2.66466668E-04   7.11475221E+20   7.68373910E+20   1.47984906E+21
   2.76466657E-04   7.60984629E+20   7.19022973E+20   1.48000753E+21
   2.86466675E-04   7.15960103E+20   7.63949686E+20   1.47990986E+21
   2.96466664E-04   7.46468331E+20   7.33504016E+20   1.47997235E+21
   3.06466653E-04   7.28717041E+20   7.51235602E+20   1.47995264E+21
   3.16466670E-04   7.34554551E+20   7.45410689E+20   1.47996531E+21
   3.26466659E-04   7.34488193E+20   7.45472261E+20   1.47996052E+21
   3.36466677E-04   7.41291373E+20   7.38653530E+20   1.47994490E+21
   3.46466666E-04   7.25926991E+20   7.54082229E+20   1.48000922E+21
   3.56466655E-04   7.59398588E+20   7.20468417E+20   1.47986707E+21
   3.66466673E-04   7.16056719E+20   7.64028077E+20   1.48008480E+21
   3.76466662E-04   7.67724547E+20   7.12075255E+20   1.47979980E+21
   3.86466680E-04   7.19428367E+20   7.60679721E+20   1.48010802E+21
   3.96466668E-04   7.58009720E+20   7.21789379E+20   1.47979910E+21
   4.06466657E-04   7.33432310E+20   7.46632149E+20   1.48006439E+21
   4.16466675E-04   7.41583614E+20   7.38247221E+20   1.47983076E+21
   4.26466664E-04   7.46012060E+20   7.33995682E+20   1.48000781E+21
   4.36466653E-04   7.31317166E+20   7.48527109E+20   1.47984428E+21
   4.46466671E-04   7.50618257E+20   7.29343534E+20   1.47996179E+21
   4.56466660E-04   7.29518260E+20   7.50289424E+20   1.47980768E+21
   4.66466678E-04   7.49287444E+20   7.30659148E+20   1.47994659E+21
   4.76466666E-04   7.32340820E+20   7.47455815E+20   1.47979671E+21
   4.86466655E-04   7.44144755E+20   7.35722531E+20   1.47986736E+21
   4.96466644E-04   7.37560774E+20   7.42277661E+20   1.47983836E+21
   5.06466662E-04   7.38897921E+20   7.40875212E+20   1.47977306E+21
   5.16466680E-04   7.40267226E+20   7.39592531E+20   1.47985976E+21
   5.26466640E-04   7.40156606E+20   7.39566916E+20   1.47972352E+21
   5.36466658E-04   7.36641547E+20   7.43145871E+20   1.47978742E+21
   5.46466676E-04   7.50114698E+20   7.29621350E+20   1.47973605E+21
   5.56466694E-04   7.27867479E+20   7.51844996E+20   1.47971255E+21
   5.66466653E-04   7.61929540E+20   7.17800175E+20   1.47972972E+21
